Data	Otwarcie	Max	Min	Zamkniêcie
2010-05-03	2.7384	2.8180	2.7341	2.8179
2010-05-04	2.8179	2.8673	2.7946	2.8489
2010-05-05	2.8489	3.0249	2.8384	2.9864
2010-05-06	2.9864	3.0225	2.8967	2.9136
2010-05-08	2.8717	2.8805	2.8683	2.8745
2010-05-09	2.8745	2.8794	2.7807	2.8333
2010-05-10	2.8333	2.8840	2.8310	2.8643
2010-05-11	2.8643	2.8778	2.8148	2.8158
2010-05-12	2.8158	2.8341	2.8024	2.8194
2010-05-15	2.8649	2.8651	2.8645	2.8650
2010-05-16	2.8650	2.8884	2.8565	2.8668
2010-05-17	2.8668	2.9053	2.8404	2.8940
2010-05-18	2.8940	2.9271	2.8572	2.8695
2010-05-19	2.8695	2.9676	2.8645	2.8933
2010-05-20	2.8933	2.8978	2.8332	2.8474
2010-05-22	2.8427	2.8495	2.8426	2.8490
2010-05-23	2.8490	2.8749	2.8314	2.8695
2010-05-24	2.8695	2.9364	2.8681	2.8957
2010-05-25	2.8957	2.9289	2.8883	2.9252
2010-05-26	2.9252	2.9262	2.8460	2.8567
2010-05-27	2.8567	2.8776	2.8266	2.8651
2010-05-29	2.8704	2.8714	2.8669	2.8692
2010-05-30	2.8692	2.8775	2.8564	2.8725
2010-05-31	2.8725	2.9178	2.8724	2.9099
2010-06-01	2.9099	2.9178	2.8895	2.8965
2010-06-02	2.8965	2.9380	2.8666	2.9273
2010-06-03	2.9273	3.0231	2.9053	3.0041
2010-06-05	3.0053	3.0115	3.0007	3.0108
2010-06-06	3.0108	3.0253	2.9733	3.0036
2010-06-07	3.0036	3.0203	2.9736	2.9926
2010-06-08	2.9926	3.0160	2.9818	3.0124
2010-06-09	3.0124	3.0161	2.9450	2.9512
2010-06-10	2.9512	2.9641	2.9393	2.9472
2010-06-12	2.9520	2.9574	2.9436	2.9437
2010-06-13	2.9437	2.9531	2.9080	2.9225
2010-06-14	2.9225	2.9364	2.8997	2.9148
2010-06-15	2.9148	2.9535	2.9082	2.9225
2010-06-16	2.9225	2.9736	2.9221	2.9594
2010-06-17	2.9594	2.9737	2.9433	2.9448
2010-06-19	2.9314	2.9549	2.9269	2.9451
2010-06-20	2.9451	2.9744	2.9250	2.9675
2010-06-21	2.9675	2.9949	2.9537	2.9896
2010-06-22	2.9896	3.0160	2.9800	2.9867
2010-06-23	2.9867	3.0412	2.9777	3.0282
2010-06-24	3.0282	3.0636	3.0242	3.0437
2010-06-26	3.0393	3.0455	3.0363	3.0449
